Route_UID,Route_Name
3017,D-2203(-)DOWN
3018,D-3201DOWN
3019,D-3201UP
3020,D-3202DOWN
3021,D-3202UP
3022,D-3301DOWN
3023,D-3301UP
3024,D-3302DOWN
3025,D-3302UP
3026,D-3601DOWN
3029,D-3901UP
3030,D-4402(+)UP
3031,D-4402(-)DOWN
3032,D-4404(+)UP
3033,D-4404(-)DOWN
3034,D-4405(+)UP
3035,D-4405(-)DOWN
3037,D-6001UP
3039,D-6101UP
3040,D-6102DOWN
3041,D-6102UP
3042,D-6301DOWN
3043,D-6301UP
3047,D-6602UP
3048,D-6603DOWN
3049,D-6603UP
3050,D-6604(-)DOWN
3052,D-6901UP
3053,D-7101DOWN
3054,D-7101UP
3055,D-7102DOWN
3056,D-7102UP
3057,D-7103DOWN
3058,D-7103UP
3059,D-7104DOWN
3060,D-7104UP
3062,D-7701UP
3063,D-7702DOWN
3065,D-8701DOWN
3067,D-8702DOWN
3070,D-8801UP
3071,D-8803DOWN
3072,D-8803UP
3073,D-9101DOWN
3074,D-9101UP
3075,D-9102DOWN
3078,D-9601UP
3080,D-9901UP
3082,D-9902UP
3083,D-9903(+)UP
3084,D-9903(-)DOWN
3086,D-9904UP
3087,D-9905DOWN
3088,D-9905UP
3089,D-9906(+)UP
3090,D-9906(-)DOWN
3091,D-9907DOWN
3092,D-9907UP
3100,D-9911UP
3102,D-9912UP
3104,D-9913UP
3107,D-9915DOWN
3108,D-9915UP
3109,D-9916DOWN
3110,D-9916UP
3111,D-9917DOWN
3116,RL-77EXTSTL-DWS-22UP
3128,356LINKSTLUP
3147,511ASTLDOWN
3155,546AUP
3194,942STLUP
3201,D-0501DOWN
3202,D-0501UP
3205,D-2201DOWN
3206,D-2201UP
3207,D-2202DOWN
3208,D-2202UP
3211,D-4503DOWN
3212,D-4503UP
3214,D-5403UP
3221,D-5509(-)
3231,BARAUT TO MAHARANA PRATAP ISBT DOWN
3232,MAHARAN PRATAP ISBT TO SONIPAT BUS STAND UP
3233,MAHARANA PRATAP ISBT TO BARAUT UP
3238,D-004UP
3239,DHARUHERA TO DHAULA KUAN DOWN
3240,DHUALA KUAN TO DHARUHERA UP
3242,D-1901UP
3243,D-3303DOWN
3244,D-3303UP
3245,D-3304DOWN
3246,D-3304UP
3247,D-3305DOWN
3248,D-3305UP
3250,D-3902UP
3252,D-7901UP
3271,DS-19DOWN
3339,392STLUP
3340,429STLDOWN
3347,706STLUP
3348,73STL-GPDDOWN
3350,751ADOWN
3352,752ADOWN
3353,752AUP
3358,903STLUP
3359,944LINKSTLDOWN
3361,ANDHERIA BAGH MORE / CHHATARPUR METRO STATION - VASANT VIHAR METRO STATION DOWN
3364,D-2303DOWN
3365,D-2303UP
3367,D-578LINKSTLUP
3368,D-7701ADOWN
3369,D-7701AUP
3370,D-9918DOWN
3371,D-9918UP
3372,MAHARANA PRATAP ISBT TO ROHTAK NEW BUS STAND UP
3376,VASANT VIHAR METRO STATION - ANDHERIA BAGH MORE / CHHATARPUR METRO STATION  UP
3386,125STLUP
3390,159STL-SBPLDDOWN
3391,159STL-SBPLDUP
3394,17STLDOWN
3411,218CSTLDOWN
3416,234STLUP
3418,260DOWN
3422,270DOWN
3426,307BSTLUP
3430,317ASTLUP
3433,336DOWN
3434,336UP
3437,396DOWN
3442,403STLUP
3449,433BDOWN
3450,433BUP
3454,433EXTUP
3457,463STLDOWN
3467,507DOWN
3468,507UP
3472,529DOWN
3489,740CDOWN
3492,764BDOWN
3495,764BUP
3503,825ASTLUP
3507,832STLUP
3510,836STLDOWN
3524,918STL-NLDDOWN
3542,975STLUP
3543,978STLDOWN
3549,D-0002STLDOWN
3552,D-085UP
3553,D-091(-)UP
3554,D-123DOWN
3556,D-5101DOWN
3557,D-5101UP
3558,D-8802DOWN
3559,D-8802UP
3569,MAHARAN PRATAP ISBT TO PANIPAT NEW BUS STAND UP
3599,NANAKSAR TO OLD GAZIABAD BUS STANDUP
3600,OLD GAZIABAD BUS STAND TO NANAKSARDOWN
3639,422ADOWN
3640,422AUP
3646,D-7703UP
3651,158ASTL-BD-1UP
3654,212ADOWN
3655,212AUP
3656,246DOWN
3658,255DOWN
3659,255UP
3661,317ADOWN
3665,425CLDOWN
3673,548DOWN
3674,548UP
3678,73STL-HPDUP
3682,753BDOWN
3683,753BUP
3686,778STL-MPDDOWN
3687,778STL-MPDUP
3689,78STL-SPDDOWN
3691,78STL-WPDDOWN
3692,790ADOWN
3694,790DOWN
3696,806ADOWN
3697,806AUP
3701,827BSTL-KPDUP
3712,850EXTUP
3715,901CLDOWN
3716,901CLUP
3722,926STL-GHD-IDOWN
3723,932ADOWN
3744,D-2205(+)UP
3745,D-2205(-)DOWN
3748,D-3203DOWN
3749,D-3203UP
3752,D-9919DOWN
3753,D-9919UP
3759,433STL-KJDUP
3762,801-KAP-UTTDOWN
3763,801-UTT-KAPUP
3767,EXP-131UP
